iter	Passed	Remaining
0	0	85
1	1	72
2	2	67
3	2	62
4	3	60
5	3	60
6	4	59
7	5	57
8	5	56
9	6	55
10	6	54
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	11	50
18	12	51
19	12	51
20	13	51
21	14	50
22	15	50
23	15	49
24	16	48
25	16	47
26	17	46
27	17	45
28	18	45
29	18	44
30	19	43
31	20	42
32	20	41
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	26	36
42	27	36
43	28	35
44	28	35
45	29	34
46	30	34
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	26
57	36	26
58	36	25
59	37	24
60	38	24
61	38	23
62	39	22
63	39	22
64	40	21
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	47	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	9
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	57	5
91	58	5
92	58	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
