iter	Passed	Remaining
0	139	139476
1	140	69976
2	140	46799
3	141	35209
4	142	28259
5	142	23622
6	144	20507
7	145	18000
8	145	16049
9	146	14488
10	146	13209
11	147	12143
12	148	11242
13	148	10472
14	149	9801
15	149	9214
16	150	8701
17	151	8241
18	151	7829
19	152	7458
20	152	7124
21	153	6819
22	153	6540
23	154	6283
24	155	6048
25	155	5829
26	156	5627
27	156	5440
28	158	5318
29	159	5155
30	160	5002
31	160	4858
32	161	4723
33	161	4598
34	162	4479
35	163	4365
36	163	4259
37	164	4157
38	164	4063
39	165	3970
40	166	3883
41	166	3801
42	167	3721
43	167	3645
44	168	3573
45	168	3503
46	169	3438
47	170	3377
48	172	3342
49	172	3285
50	173	3230
51	174	3180
52	175	3130
53	175	3079
54	176	3029
55	176	2982
56	177	2939
57	178	2898
58	179	2856
59	179	2817
60	180	2779
61	181	2742
62	181	2705
63	182	2668
64	183	2632
65	183	2598
66	184	2564
67	184	2532
68	185	2500
69	186	2478
70	187	2450
71	187	2421
72	188	2392
73	188	2364
74	189	2337
75	190	2311
76	190	2285
77	191	2260
78	192	2239
79	192	2216
80	193	2193
81	193	2170
82	194	2145
83	194	2123
84	195	2102
85	195	2082
86	196	2062
87	197	2042
88	197	2023
89	198	2004
90	198	1985
91	199	1967
92	199	1949
93	200	1936
94	202	1928
95	202	1911
96	203	1895
97	204	1879
98	204	1863
99	205	1848
100	206	1834
101	206	1819
102	207	1804
103	207	1790
104	208	1775
105	208	1761
106	209	1748
107	210	1734
108	210	1721
109	211	1708
110	211	1695
111	212	1683
112	212	1670
113	213	1658
114	213	1646
115	214	1635
116	215	1622
117	216	1620
118	217	1611
119	218	1600
120	218	1589
121	219	1577
122	219	1566
123	220	1556
124	220	1546
125	221	1536
126	221	1525
127	222	1516
128	223	1507
129	223	1498
130	224	1488
131	224	1479
132	225	1470
133	226	1460
134	226	1452
135	227	1443
136	227	1434
137	228	1426
138	228	1417
139	229	1409
140	229	1401
141	230	1391
142	232	1391
143	232	1383
144	233	1376
145	233	1368
146	234	1361
147	235	1353
148	235	1346
149	236	1339
150	236	1331
151	237	1325
152	238	1318
153	238	1311
154	239	1304
155	239	1297
156	240	1290
157	240	1283
158	241	1277
159	242	1270
160	242	1263
161	242	1256
162	243	1250
163	244	1243
164	244	1237
165	245	1231
166	247	1232
167	247	1227
168	248	1221
169	248	1215
170	249	1209
171	250	1204
172	250	1198
173	251	1192
174	251	1187
175	252	1182
176	253	1176
177	253	1171
178	254	1165
179	254	1160
180	255	1155
181	255	1150
182	256	1144
183	257	1139
184	257	1134
185	258	1129
186	258	1124
187	259	1119
188	259	1115
189	260	1110
190	261	1106
191	261	1102
192	262	1097
193	263	1092
194	263	1088
195	264	1083
196	264	1079
197	265	1074
198	265	1070
199	266	1065
200	267	1061
201	267	1057
202	268	1053
203	268	1048
204	269	1044
205	269	1040
206	270	1036
207	270	1031
208	271	1027
209	272	1023
210	272	1019
211	273	1015
212	273	1011
213	275	1013
214	276	1009
215	277	1006
216	278	1003
217	278	999
218	279	995
219	279	991
220	280	988
221	280	984
222	281	980
223	282	977
224	282	973
225	283	969
226	283	966
227	284	962
228	284	959
229	285	955
230	286	952
231	286	948
232	287	945
233	287	942
234	288	938
235	288	935
236	290	936
237	291	933
238	291	929
239	292	926
240	293	923
241	293	920
242	294	916
243	294	913
244	295	910
245	296	907
246	296	904
247	297	900
248	297	897
249	298	894
250	298	891
251	299	888
252	299	885
253	300	882
254	300	879
255	301	876
256	302	873
257	302	870
258	303	867
259	303	865
260	306	867
261	306	864
262	307	861
263	308	858
264	308	855
265	309	852
266	309	850
267	310	847
268	310	844
269	311	841
270	311	839
271	312	836
272	313	833
273	313	830
274	314	828
275	314	825
276	315	822
277	315	820
278	316	817
279	316	814
280	317	812
281	318	809
282	318	807
283	319	805
284	321	805
285	321	803
286	322	800
287	322	798
288	323	795
289	324	793
290	324	790
291	325	788
292	325	786
293	326	783
294	326	781
295	327	778
296	328	776
297	328	774
298	329	771
299	329	769
300	330	767
301	330	764
302	331	762
303	332	760
304	332	758
305	333	755
306	333	753
307	335	754
308	336	752
309	336	750
310	337	747
311	338	745
312	338	743
313	339	741
314	339	738
315	340	736
316	340	734
317	341	732
318	342	730
319	342	728
320	343	726
321	343	723
322	344	721
323	344	719
324	345	717
325	346	715
326	346	713
327	347	711
328	347	709
329	348	707
330	348	705
331	350	705
332	351	703
333	352	701
334	352	699
335	353	697
336	353	695
337	354	693
338	354	691
339	355	689
340	356	688
341	356	686
342	357	684
343	357	682
344	358	680
345	358	678
346	359	676
347	359	674
348	361	673
349	361	671
350	362	670
351	363	668
352	363	666
353	366	669
354	369	671
355	370	669
356	370	668
357	371	666
358	372	664
359	372	662
360	373	660
361	373	658
362	374	656
363	374	655
364	375	653
365	376	651
366	376	649
367	377	647
368	377	646
369	378	644
370	378	642
371	379	640
372	381	640
373	381	639
374	382	637
375	383	635
376	383	633
377	384	632
378	384	630
379	385	628
380	385	627
381	386	625
382	387	623
383	387	621
384	388	620
385	388	618
386	389	616
387	389	615
388	390	613
389	391	611
390	391	610
391	392	608
392	392	606
393	393	605
394	394	603
395	396	604
396	396	602
397	397	600
398	397	599
399	398	597
400	399	596
401	399	594
402	400	592
403	400	591
404	401	589
405	401	587
406	402	586
407	402	584
408	403	583
409	404	581
410	404	579
411	405	578
412	405	576
413	406	575
414	406	573
415	407	571
416	407	570
417	408	568
418	409	567
419	410	567
420	411	566
421	412	564
422	412	563
423	413	561
424	413	560
425	414	558
426	415	557
427	415	555
428	416	554
429	417	552
430	417	551
431	418	549
432	418	548
433	419	546
434	419	545
435	420	544
436	421	542
437	421	541
438	422	539
439	422	538
440	423	536
441	423	535
442	424	533
443	426	533
444	426	532
445	427	531
446	428	529
447	428	528
448	429	526
449	429	525
450	430	524
451	431	522
452	431	521
453	432	519
454	432	518
455	433	517
456	433	515
457	434	514
458	435	512
459	435	511
460	436	509
461	436	508
462	437	507
463	437	505
464	438	504
465	438	503
466	440	503
467	441	501
468	442	500
469	442	499
470	443	497
471	443	496
472	444	495
473	444	493
474	445	492
475	446	491
476	446	489
477	447	488
478	447	487
479	448	485
480	448	484
481	449	483
482	450	481
483	450	480
484	451	479
485	451	477
486	452	476
487	452	475
488	453	473
489	454	472
490	456	473
491	457	472
492	457	470
493	458	469
494	459	468
495	459	467
496	460	465
497	460	464
498	461	463
499	462	462
500	462	460
501	463	459
502	463	458
503	464	456
504	464	455
505	465	454
506	465	453
507	466	451
508	467	450
509	467	449
510	468	448
511	468	446
512	469	445
513	471	445
514	471	444
515	472	443
516	473	442
517	473	440
518	474	439
519	475	438
520	475	437
521	476	436
522	476	434
523	477	433
524	478	432
525	478	431
526	479	430
527	479	428
528	480	427
529	480	426
530	481	425
531	481	423
532	482	422
533	483	421
534	483	420
535	484	419
536	487	420
537	487	418
538	488	417
539	489	416
540	489	415
541	490	414
542	490	413
543	491	412
544	492	410
545	492	409
546	493	408
547	493	407
548	494	406
549	495	405
550	495	403
551	496	402
552	496	401
553	497	400
554	497	399
555	498	398
556	499	396
557	499	395
558	501	395
559	501	394
560	502	393
561	503	392
562	503	390
563	504	389
564	504	388
565	505	387
566	506	386
567	506	385
568	507	384
569	507	383
570	508	381
571	508	380
572	509	379
573	510	378
574	510	377
575	511	376
576	511	375
577	512	374
578	512	372
579	513	371
580	514	370
581	515	370
582	516	369
583	517	368
584	517	367
585	518	366
586	518	365
587	519	363
588	520	362
589	520	361
590	521	360
591	521	359
592	522	358
593	522	357
594	523	356
595	524	355
596	524	354
597	525	353
598	525	351
599	526	350
600	526	349
601	527	348
602	527	347
603	528	346
604	529	345
605	530	345
606	531	344
607	532	343
608	532	341
609	533	340
610	533	339
611	534	338
612	534	337
613	535	336
614	536	335
615	536	334
616	537	333
617	537	332
618	538	331
619	538	330
620	539	329
621	540	328
622	540	327
623	541	326
624	541	325
625	542	323
626	542	322
627	543	321
628	543	320
629	545	320
630	546	319
631	547	318
632	547	317
633	548	316
634	548	315
635	549	314
636	550	313
637	550	312
638	551	311
639	551	310
640	552	309
641	552	308
642	553	307
643	554	306
644	554	305
645	555	304
646	555	303
647	556	302
648	556	301
649	557	300
650	558	299
651	558	298
652	559	297
653	560	296
654	561	295
655	562	294
656	563	294
657	563	293
658	564	292
659	565	291
660	565	290
661	566	289
662	566	288
663	567	287
664	567	286
665	568	285
666	569	284
667	569	283
668	570	282
669	570	281
670	571	280
671	571	279
672	572	278
673	572	277
674	573	276
675	574	275
676	576	275
677	577	274
678	577	273
679	578	272
680	578	271
681	579	270
682	579	269
683	580	268
684	580	267
685	581	266
686	582	265
687	582	264
688	583	263
689	583	262
690	584	261
691	584	260
692	585	259
693	586	258
694	586	257
695	587	256
696	587	255
697	588	254
698	588	253
699	589	252
700	591	252
701	592	251
702	592	250
703	593	249
704	593	248
705	594	247
706	594	246
707	595	245
708	596	244
709	596	243
710	597	242
711	597	241
712	598	240
713	598	239
714	599	238
715	600	238
716	600	237
717	601	236
718	601	235
719	602	234
720	602	233
721	603	232
722	604	231
723	606	231
724	606	230
725	607	229
726	607	228
727	608	227
728	609	226
729	609	225
730	610	224
731	610	223
732	611	222
733	611	221
734	612	220
735	612	219
736	613	218
737	614	218
738	614	217
739	615	216
740	615	215
741	616	214
742	616	213
743	617	212
744	617	211
745	618	210
746	619	209
747	620	208
748	621	208
749	622	207
750	622	206
751	623	205
752	623	204
753	624	203
754	624	202
755	625	201
756	626	200
757	626	200
758	627	199
759	627	198
760	628	197
761	628	196
762	629	195
763	630	194
764	630	193
765	631	192
766	631	191
767	632	191
768	632	190
769	633	189
770	633	188
771	634	187
772	636	186
773	637	186
774	637	185
775	638	184
776	638	183
777	639	182
778	639	181
779	640	180
780	641	179
781	641	178
782	642	178
783	642	177
784	643	176
785	644	175
786	644	174
787	645	173
788	645	172
789	646	171
790	646	170
791	647	170
792	648	169
793	648	168
794	649	167
795	650	166
796	651	165
797	651	165
798	652	164
799	653	163
800	654	162
801	654	161
802	655	160
803	655	159
804	656	159
805	657	158
806	657	157
807	658	156
808	658	155
809	659	154
810	659	153
811	660	152
812	660	152
813	661	151
814	662	150
815	662	149
816	663	148
817	663	147
818	664	146
819	665	146
820	666	145
821	667	144
822	667	143
823	668	142
824	668	141
825	669	140
826	669	140
827	670	139
828	670	138
829	671	137
830	672	136
831	672	135
832	673	134
833	673	134
834	674	133
835	674	132
836	675	131
837	676	130
838	676	129
839	677	128
840	677	128
841	678	127
842	678	126
843	679	125
844	681	124
845	681	124
846	682	123
847	683	122
848	683	121
849	684	120
850	684	119
851	685	119
852	686	118
853	686	117
854	687	116
855	687	115
856	688	114
857	689	114
858	689	113
859	690	112
860	690	111
861	691	110
862	691	109
863	692	109
864	693	108
865	693	107
866	694	106
867	696	105
868	696	105
869	697	104
870	697	103
871	698	102
872	699	101
873	699	100
874	700	100
875	700	99
876	701	98
877	701	97
878	702	96
879	703	95
880	703	95
881	704	94
882	704	93
883	705	92
884	705	91
885	706	90
886	706	90
887	707	89
888	708	88
889	708	87
890	709	86
891	711	86
892	711	85
893	712	84
894	712	83
895	713	82
896	714	81
897	714	81
898	715	80
899	715	79
900	716	78
901	716	77
902	717	77
903	718	76
904	718	75
905	719	74
906	720	73
907	721	73
908	721	72
909	722	71
910	722	70
911	723	69
912	723	68
913	724	68
914	726	67
915	727	66
916	727	65
917	728	65
918	728	64
919	729	63
920	730	62
921	730	61
922	731	60
923	731	60
924	732	59
925	732	58
926	733	57
927	734	56
928	734	56
929	735	55
930	735	54
931	736	53
932	736	52
933	737	52
934	738	51
935	738	50
936	739	49
937	739	48
938	740	48
939	741	47
940	741	46
941	742	45
942	743	44
943	743	44
944	744	43
945	744	42
946	745	41
947	745	40
948	746	40
949	747	39
950	747	38
951	748	37
952	748	36
953	749	36
954	749	35
955	750	34
956	750	33
957	751	32
958	752	32
959	752	31
960	753	30
961	755	29
962	756	29
963	756	28
964	757	27
965	758	26
966	758	25
967	759	25
968	759	24
969	760	23
970	761	22
971	761	21
972	762	21
973	762	20
974	763	19
975	764	18
976	764	17
977	765	17
978	765	16
979	766	15
980	766	14
981	767	14
982	767	13
983	768	12
984	770	11
985	771	10
986	771	10
987	772	9
988	772	8
989	773	7
990	773	7
991	774	6
992	775	5
993	775	4
994	776	3
995	776	3
996	777	2
997	778	1
998	778	0
999	779	0
